qid,query,query_stance,topic,age_group,gender,activity,activity_type,stance,geolocation,geo_temperature,normalized_smm
5,9/11 conspiracy,1,911,2,Female,Watch,Geolocation,neutral,Ohio,hot,-0.290909091
5,9/11 conspiracy,1,911,2,Female,Watch,Geolocation,promoting,Ohio,hot,-0.290909091
5,9/11 conspiracy,1,911,2,Female,Watch,Geolocation,debunking,Georgia,cold,-0.290909091
6,9/11 conspiracy theory shawn dawson,1,911,2,Female,Watch,Geolocation,promoting,Georgia,cold,-0.327272727
6,9/11 conspiracy theory shawn dawson,1,911,2,Female,Watch,Geolocation,debunking,Georgia,cold,-0.327272727
6,9/11 conspiracy theory shawn dawson,1,911,2,Female,Watch,Geolocation,promoting,Ohio,hot,-0.327272727
6,9/11 conspiracy theory shawn dawson,1,911,2,Female,Watch,Geolocation,debunking,Ohio,hot,-0.327272727
6,9/11 conspiracy theory shawn dawson,1,911,2,Female,Watch,Geolocation,neutral,Georgia,cold,-0.327272727
6,9/11 conspiracy theory shawn dawson,1,911,2,Female,Watch,Geolocation,neutral,Ohio,hot,-0.327272727
7,9/11 conspiracy debunked,-1,911,2,Female,Watch,Geolocation,promoting,Georgia,cold,-0.890909091
7,9/11 conspiracy debunked,-1,911,2,Female,Watch,Geolocation,promoting,Ohio,hot,-0.890909091
7,9/11 conspiracy debunked,-1,911,2,Female,Watch,Geolocation,neutral,Georgia,cold,-0.890909091
7,9/11 conspiracy debunked,-1,911,2,Female,Watch,Geolocation,debunking,Georgia,cold,-0.890909091
7,9/11 conspiracy debunked,-1,911,2,Female,Watch,Geolocation,debunking,Ohio,hot,-0.890909091
7,9/11 conspiracy debunked,-1,911,2,Female,Watch,Geolocation,neutral,Ohio,hot,-0.890909091
8,9/11 conspiracy shane,1,911,2,Female,Watch,Geolocation,promoting,Georgia,cold,-0.272727273
8,9/11 conspiracy shane,1,911,2,Female,Watch,Geolocation,debunking,Ohio,hot,-0.272727273
8,9/11 conspiracy shane,1,911,2,Female,Watch,Geolocation,neutral,Georgia,cold,-0.272727273
8,9/11 conspiracy shane,1,911,2,Female,Watch,Geolocation,neutral,Ohio,hot,-0.272727273
8,9/11 conspiracy shane,1,911,2,Female,Watch,Geolocation,promoting,Ohio,hot,-0.272727273
8,9/11 conspiracy shane,1,911,2,Female,Watch,Geolocation,debunking,Georgia,cold,-0.272727273
9,conspiracy theories,1,911,2,Female,Watch,Geolocation,neutral,Georgia,cold,-0.709090909
9,conspiracy theories,1,911,2,Female,Watch,Geolocation,promoting,Georgia,cold,-0.709090909
9,conspiracy theories,1,911,2,Female,Watch,Geolocation,neutral,Ohio,hot,-0.709090909
9,conspiracy theories,1,911,2,Female,Watch,Geolocation,promoting,Ohio,hot,-0.709090909
9,conspiracy theories,1,911,2,Female,Watch,Geolocation,debunking,Georgia,cold,-0.709090909
9,conspiracy theories,1,911,2,Female,Watch,Geolocation,debunking,Ohio,hot,-0.709090909
10,conspiracy theories 9/11,1,911,2,Female,Watch,Geolocation,debunking,Georgia,cold,-0.272727273
10,conspiracy theories 9/11,1,911,2,Female,Watch,Geolocation,debunking,Ohio,hot,-0.309090909
10,conspiracy theories 9/11,1,911,2,Female,Watch,Geolocation,promoting,Georgia,cold,-0.309090909
10,conspiracy theories 9/11,1,911,2,Female,Watch,Geolocation,neutral,Georgia,cold,-0.309090909
10,conspiracy theories 9/11,1,911,2,Female,Watch,Geolocation,neutral,Ohio,hot,-0.309090909
10,conspiracy theories 9/11,1,911,2,Female,Watch,Geolocation,promoting,Ohio,hot,-0.309090909
0,9/11,0,911,4,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
0,9/11,0,911,3,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
0,9/11,0,911,4,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
0,9/11,0,911,2,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
0,9/11,0,911,3,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
0,9/11,0,911,2,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
0,9/11,0,911,4,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
0,9/11,0,911,3,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
0,9/11,0,911,3,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
0,9/11,0,911,1,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
0,9/11,0,911,4,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
0,9/11,0,911,2,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
0,9/11,0,911,2,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
0,9/11,0,911,2,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
0,9/11,0,911,1,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
0,9/11,0,911,4,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
0,9/11,0,911,3,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
0,9/11,0,911,2,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
0,9/11,0,911,1,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
0,9/11,0,911,1,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
0,9/11,0,911,1,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
0,9/11,0,911,4,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
0,9/11,0,911,3,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
0,9/11,0,911,1,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,4,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,4,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,2,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,1,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,2,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,2,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,3,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,3,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,2,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,4,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,1,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,3,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,3,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,4,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,3,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,4,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,1,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,2,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,3,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,1,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,4,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,2,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,1,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
1,9/11 footage ground zero,0,911,1,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
2,9/11 inside job,1,911,4,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,4,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,1,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.509090909
2,9/11 inside job,1,911,4,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,4,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,4,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,3,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,2,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,3,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,1,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,3,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,2,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,2,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,1,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,3,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,1,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,4,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,2,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,1,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,3,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,3,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,1,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,2,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.472727273
2,9/11 inside job,1,911,2,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.472727273
3,9/11 calls from plane,0,911,1,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,2,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,1,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,3,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,1,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,4,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,1,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,4,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,2,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,3,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,3,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,2,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,4,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,3,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,4,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,3,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,3,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,2,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,4,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,2,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,2,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,1,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,4,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
3,9/11 calls from plane,0,911,1,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,2,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,1,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,4,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,4,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,1,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,3,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,3,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,2,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,4,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,4,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,1,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,2,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,2,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,1,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,2,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,3,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,2,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,4,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,1,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,3,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,3,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,3,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,4,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,0
4,9/11 tribute,0,911,1,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,0
5,9/11 conspiracy,1,911,3,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,1,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,3,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,2,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,3,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,3,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,1,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,4,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,2,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,2,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,2,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,4,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,3,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,3,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,4,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,1,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,4,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,1,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,1,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.345454545
5,9/11 conspiracy,1,911,4,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,4,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,2,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,2,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.309090909
5,9/11 conspiracy,1,911,1,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.309090909
6,9/11 conspiracy theory shawn dawson,1,911,2,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,3,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,3,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,1,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.345454545
6,9/11 conspiracy theory shawn dawson,1,911,4,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,4,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,4,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,2,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,1,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,3,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,3,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.363636364
6,9/11 conspiracy theory shawn dawson,1,911,2,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,1,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,4,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,2,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.363636364
6,9/11 conspiracy theory shawn dawson,1,911,4,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.363636364
6,9/11 conspiracy theory shawn dawson,1,911,2,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,2,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,1,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,4,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,1,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,3,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.363636364
6,9/11 conspiracy theory shawn dawson,1,911,1,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.381818182
6,9/11 conspiracy theory shawn dawson,1,911,3,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.381818182
7,9/11 conspiracy debunked,-1,911,2,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,4,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,3,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,1,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,3,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,4,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,3,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,4,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,3,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,1,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,2,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,2,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,4,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,2,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,1,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,3,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,1,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,3,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,2,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,2,Female,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,1,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,4,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,4,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.890909091
7,9/11 conspiracy debunked,-1,911,1,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.854545455
8,9/11 conspiracy shane,1,911,4,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.327272727
8,9/11 conspiracy shane,1,911,1,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.327272727
8,9/11 conspiracy shane,1,911,2,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.327272727
8,9/11 conspiracy shane,1,911,3,Male,Watch,Demographics,debunking,us-east1-b (South Carolina),,-0.327272727
8,9/11 conspiracy shane,1,911,4,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.327272727
8,9/11 conspiracy shane,1,911,2,Female,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.327272727
8,9/11 conspiracy shane,1,911,4,Male,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.327272727
8,9/11 conspiracy shane,1,911,4,Male,Watch,Demographics,promoting,us-east1-b (South Carolina),,-0.327272727
8,9/11 conspiracy shane,1,911,4,Female,Watch,Demographics,neutral,us-east1-b (South Carolina),,-0.327272727
